DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,TOTAL_MIN_CAPACITY_PRICE_[EUR/MW],TOTAL_AVERAGE_CAPACITY_PRICE_[EUR/MW],TOTAL_MARGINAL_CAPACITY_PRICE_[EUR/MW],TOTAL_MIN_ENERGY_PRICE_[EUR/MWh],TOTAL_AVERAGE_ENERGY_PRICE_[EUR/MWh],TOTAL_MARGINAL_ENERGY_PRICE_[EUR/MWh],GERMANY_MIN_CAPACITY_PRICE_[EUR/MW],GERMANY_AVERAGE_CAPACITY_PRICE_[EUR/MW],GERMANY_MARGINAL_CAPACITY_PRICE_[EUR/MW],GERMANY_MIN_ENERGY_PRICE_[EUR/MWh],GERMANY_AVERAGE_ENERGY_PRICE_[EUR/MWh],GERMANY_MARGINAL_ENERGY_PRICE_[EUR/MWh],GERMANY_IMPORT(-)_EXPORT(+)_[MW],AUSTRIA_MIN_CAPACITY_PRICE_[EUR/MW],AUSTRIA_AVERAGE_CAPACITY_PRICE_[EUR/MW],AUSTRIA_MARGINAL_CAPACITY_PRICE_[EUR/MW],AUSTRIA_MIN_ENERGY_PRICE_[EUR/MWh],AUSTRIA_AVERAGE_ENERGY_PRICE_[EUR/MWh],AUSTRIA_MARGINAL_ENERGY_PRICE_[EUR/MWh],AUSTRIA_IMPORT(-)_EXPORT(+)_[MW],GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
9/1/2020,9/1/2020,aFRR,POS_00_04,0.000,0.080,1.220,57.000,1122.280,8180.000,0.000,0.090,1.220,58.000,1211.060,8180.000,25.000,0.000,0.000,0.000,57.000,98.520,297.000,-25.000,
9/1/2020,9/1/2020,aFRR,POS_04_08,0.000,3.310,7.920,60.430,1595.410,8380.200,0.000,3.400,7.920,60.430,1658.840,8380.200,69.000,0.000,1.830,7.800,61.000,578.020,739.910,-69.000,
9/1/2020,9/1/2020,aFRR,POS_08_12,0.000,27.130,50.280,61.000,813.640,8180.000,0.000,26.910,50.280,77.100,842.850,8180.000,51.000,0.000,30.360,49.320,61.000,383.630,1342.070,-51.000,
9/1/2020,9/1/2020,aFRR,POS_12_16,0.000,8.950,35.920,58.000,1100.400,8180.000,0.000,8.700,29.520,64.970,1148.090,8180.000,80.000,0.000,13.450,35.920,58.000,216.970,970.310,-80.000,
9/1/2020,9/1/2020,aFRR,POS_16_20,0.000,47.680,70.360,72.000,836.750,8180.000,0.000,47.370,70.360,85.100,866.540,8180.000,42.000,0.000,51.770,68.440,72.000,442.600,5999.000,-42.000,
9/1/2020,9/1/2020,aFRR,POS_20_24,0.000,35.060,51.790,72.000,1031.040,9898.200,0.000,34.860,51.790,88.300,983.940,9898.200,32.000,0.000,37.450,51.720,72.000,1613.170,8773.680,-32.000,
9/1/2020,9/1/2020,aFRR,NEG_00_04,0.000,5.920,19.600,15.630,-889.990,-9999.000,0.000,6.030,19.360,15.630,-790.410,-9999.000,-34.000,0.000,4.990,19.600,13.000,-1726.690,-7800.000,34.000,
9/1/2020,9/1/2020,aFRR,NEG_04_08,0.000,3.680,14.000,16.100,-789.900,-9999.000,0.000,3.690,14.000,16.100,-727.410,-9999.000,-16.000,0.000,3.620,14.000,13.000,-1367.650,-7800.000,16.000,
9/1/2020,9/1/2020,aFRR,NEG_08_12,0.000,0.000,0.000,19.000,-151.970,-741.000,0.000,0.000,0.000,18.100,-160.510,-741.000,-42.000,0.000,0.000,0.000,19.000,-79.850,-701.000,42.000,
9/1/2020,9/1/2020,aFRR,NEG_12_16,0.000,0.000,0.000,17.100,-218.010,-1090.950,0.000,0.000,0.000,17.100,-222.860,-1090.950,-54.000,0.000,0.000,0.000,15.000,-180.470,-978.000,54.000,
