DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,TOTAL_MIN_CAPACITY_PRICE_[EUR/MW],TOTAL_AVERAGE_CAPACITY_PRICE_[EUR/MW],TOTAL_MARGINAL_CAPACITY_PRICE_[EUR/MW],TOTAL_MIN_ENERGY_PRICE_[EUR/MWh],TOTAL_AVERAGE_ENERGY_PRICE_[EUR/MWh],TOTAL_MARGINAL_ENERGY_PRICE_[EUR/MWh],GERMANY_MIN_CAPACITY_PRICE_[EUR/MW],GERMANY_AVERAGE_CAPACITY_PRICE_[EUR/MW],GERMANY_MARGINAL_CAPACITY_PRICE_[EUR/MW],GERMANY_MIN_ENERGY_PRICE_[EUR/MWh],GERMANY_AVERAGE_ENERGY_PRICE_[EUR/MWh],GERMANY_MARGINAL_ENERGY_PRICE_[EUR/MWh],GERMANY_IMPORT(-)_EXPORT(+)_[MW]
7/12/2018,7/12/2018,aFRR,POS_00_04,0.000,47.670,72.820,55.000,95.090,291.900,0.000,47.670,72.820,55.000,95.090,291.900,0.000
7/12/2018,7/12/2018,aFRR,POS_04_08,0.000,59.780,100.400,55.000,104.680,348.000,0.000,59.780,100.400,55.000,104.680,348.000,0.000
7/12/2018,7/12/2018,aFRR,POS_08_12,0.000,63.960,97.420,58.150,88.810,333.000,0.000,63.960,97.420,58.150,88.810,333.000,0.000
7/12/2018,7/12/2018,aFRR,POS_12_16,0.000,59.820,100.800,58.800,93.620,348.000,0.000,59.820,100.800,58.800,93.620,348.000,0.000
7/12/2018,7/12/2018,aFRR,POS_16_20,0.000,62.960,102.080,58.800,89.520,400.000,0.000,62.960,102.080,58.800,89.520,400.000,0.000
7/12/2018,7/12/2018,aFRR,POS_20_24,0.000,56.690,87.100,58.800,99.630,333.000,0.000,56.690,87.100,58.800,99.630,333.000,0.000
7/12/2018,7/12/2018,aFRR,NEG_00_04,0.000,63.930,99.880,30.000,-17.740,-350.000,0.000,63.930,99.880,30.000,-17.740,-350.000,0.000
7/12/2018,7/12/2018,aFRR,NEG_04_08,0.000,63.200,99.880,30.000,-17.700,-350.000,0.000,63.200,99.880,30.000,-17.700,-350.000,0.000
7/12/2018,7/12/2018,aFRR,NEG_08_12,0.000,47.310,69.360,30.000,9.270,-235.000,0.000,47.310,69.360,30.000,9.270,-235.000,0.000
7/12/2018,7/12/2018,aFRR,NEG_12_16,0.000,40.520,67.640,30.000,6.330,-235.000,0.000,40.520,67.640,30.000,6.330,-235.000,0.000
7/12/2018,7/12/2018,aFRR,NEG_16_20,0.000,42.200,64.980,30.000,7.800,-236.000,0.000,42.200,64.980,30.000,7.800,-236.000,0.000
7/12/2018,7/12/2018,aFRR,NEG_20_24,0.000,58.920,100.720,30.000,-16.790,-350.000,0.000,58.920,100.720,30.000,-16.790,-350.000,0.000
7/13/2018,7/13/2018,aFRR,POS_00_04,0.000,48.330,68.160,48.000,76.860,200.000,0.000,48.330,68.160,48.000,76.860,200.000,0.000
7/13/2018,7/13/2018,aFRR,POS_04_08,0.000,54.770,85.000,48.000,100.690,300.000,0.000,54.770,85.000,48.000,100.690,300.000,0.000
7/13/2018,7/13/2018,aFRR,POS_08_12,0.000,55.120,84.000,48.000,95.800,300.000,0.000,55.120,84.000,48.000,95.800,300.000,0.000
7/13/2018,7/13/2018,aFRR,POS_12_16,0.000,54.840,77.000,48.000,92.180,291.900,0.000,54.840,77.000,48.000,92.180,291.900,0.000
