DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,TOTAL_MIN_CAPACITY_PRICE_[EUR/MW],TOTAL_AVERAGE_CAPACITY_PRICE_[EUR/MW],TOTAL_MARGINAL_CAPACITY_PRICE_[EUR/MW],TOTAL_MIN_ENERGY_PRICE_[EUR/MWh],TOTAL_AVERAGE_ENERGY_PRICE_[EUR/MWh],TOTAL_MARGINAL_ENERGY_PRICE_[EUR/MWh],GERMANY_MIN_CAPACITY_PRICE_[EUR/MW],GERMANY_AVERAGE_CAPACITY_PRICE_[EUR/MW],GERMANY_MARGINAL_CAPACITY_PRICE_[EUR/MW],GERMANY_MIN_ENERGY_PRICE_[EUR/MWh],GERMANY_AVERAGE_ENERGY_PRICE_[EUR/MWh],GERMANY_MARGINAL_ENERGY_PRICE_[EUR/MWh],GERMANY_IMPORT(-)_EXPORT(+)_[MW],AUSTRIA_MIN_CAPACITY_PRICE_[EUR/MW],AUSTRIA_AVERAGE_CAPACITY_PRICE_[EUR/MW],AUSTRIA_MARGINAL_CAPACITY_PRICE_[EUR/MW],AUSTRIA_MIN_ENERGY_PRICE_[EUR/MWh],AUSTRIA_AVERAGE_ENERGY_PRICE_[EUR/MWh],AUSTRIA_MARGINAL_ENERGY_PRICE_[EUR/MWh],AUSTRIA_IMPORT(-)_EXPORT(+)_[MW],GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
8/1/2020,8/1/2020,aFRR,POS_00_04,0.000,0.000,0.000,42.980,613.200,1889.000,0.000,0.000,0.000,42.980,684.070,1889.000,-80.000,0.000,0.000,0.000,44.850,106.030,399.980,80.000,
8/1/2020,8/1/2020,aFRR,POS_04_08,0.000,0.000,0.000,47.980,867.160,2847.200,0.000,0.000,0.000,47.980,952.500,2847.200,-44.000,0.000,0.000,0.000,56.000,168.320,1072.930,44.000,
8/1/2020,8/1/2020,aFRR,POS_08_12,0.000,0.000,0.000,47.980,1714.360,5977.000,0.000,0.000,0.000,47.980,1805.070,5977.000,76.000,0.000,0.000,0.000,55.000,158.390,365.920,-76.000,
8/1/2020,8/1/2020,aFRR,POS_12_16,0.000,0.010,1.960,47.300,1285.860,3789.600,0.000,0.000,0.000,47.300,1353.340,3789.600,78.000,0.000,0.250,1.960,47.460,97.670,226.980,-78.000,
8/1/2020,8/1/2020,aFRR,POS_16_20,0.000,4.900,8.760,47.980,1735.610,9929.500,0.000,4.910,8.580,47.980,1811.070,9929.500,80.000,0.000,4.690,8.760,66.000,358.510,4197.150,-80.000,
8/1/2020,8/1/2020,aFRR,POS_20_24,0.000,7.350,15.840,47.980,818.590,9900.000,0.000,7.150,15.720,47.980,729.910,9900.000,-67.000,0.000,8.860,15.840,56.140,1487.850,7908.310,67.000,
8/1/2020,8/1/2020,aFRR,NEG_00_04,0.000,0.000,0.000,9.300,-395.570,-1497.000,0.000,0.000,0.000,9.300,-413.350,-1497.000,51.000,0.000,0.000,0.000,4.500,-158.190,-999.000,-51.000,
8/1/2020,8/1/2020,aFRR,NEG_04_08,0.000,0.000,0.000,9.002,-587.000,-2769.230,0.000,0.000,0.000,9.002,-621.140,-2769.230,37.000,0.000,0.000,0.000,4.500,-176.080,-1400.000,-37.000,
8/1/2020,8/1/2020,aFRR,NEG_08_12,0.000,0.020,0.620,10.100,-1417.730,-9980.000,0.000,0.020,0.620,10.100,-1507.410,-9980.000,54.000,0.000,0.010,0.320,3.500,-138.240,-3600.000,-54.000,
8/1/2020,8/1/2020,aFRR,NEG_12_16,0.000,5.870,18.150,10.000,-921.940,-9980.000,0.000,6.120,18.150,10.000,-952.400,-9980.000,-17.000,0.000,3.500,14.840,0.500,-634.670,-8200.000,17.000,
8/1/2020,8/1/2020,aFRR,NEG_16_20,0.000,0.000,0.000,10.520,-1408.090,-4832.000,0.000,0.000,0.000,10.520,-1543.180,-4832.000,-13.000,0.000,0.000,0.000,5.500,-143.490,-3600.000,13.000,
8/1/2020,8/1/2020,aFRR,NEG_20_24,0.000,0.000,0.000,11.300,-131.140,-691.280,0.000,0.000,0.000,11.300,-149.210,-691.280,-80.000,0.000,0.000,0.000,7.500,-8.680,-69.000,80.000,
8/2/2020,8/2/2020,aFRR,POS_00_04,0.000,0.000,0.000,43.790,253.470,821.000,0.000,0.000,0.000,43.790,274.690,821.000,-80.000,0.000,0.000,0.000,44.590,102.860,279.000,80.000,
8/2/2020,8/2/2020,aFRR,POS_04_08,0.000,0.000,0.000,47.090,242.640,901.270,0.000,0.000,0.000,47.090,259.620,901.270,-57.000,0.000,0.000,0.000,56.500,108.740,377.000,57.000,
8/2/2020,8/2/2020,aFRR,POS_08_12,0.000,0.000,0.000,48.790,483.100,1287.340,0.000,0.000,0.000,48.790,511.090,1287.340,2.000,0.000,0.000,0.000,49.320,184.320,333.000,-2.000,
8/2/2020,8/2/2020,aFRR,POS_12_16,0.000,0.000,0.000,47.000,793.130,2927.120,0.000,0.000,0.000,47.000,833.270,2927.120,71.000,0.000,0.000,0.000,48.290,125.780,333.000,-71.000,
8/2/2020,8/2/2020,aFRR,POS_16_20,0.000,1.690,3.960,48.790,2293.930,9900.000,0.000,1.710,3.700,48.790,2412.300,9900.000,76.000,0.000,1.320,3.960,62.500,173.730,888.000,-76.000,
8/2/2020,8/2/2020,aFRR,POS_20_24,0.000,6.430,11.140,48.790,858.540,9900.000,0.000,6.530,11.140,48.790,831.840,9900.000,69.000,0.000,4.780,10.120,55.760,1309.660,7900.980,-69.000,
8/2/2020,8/2/2020,aFRR,NEG_00_04,0.000,0.000,0.000,10.500,-140.080,-656.200,0.000,0.000,0.000,10.500,-142.390,-656.200,62.000,0.000,0.000,0.000,5.500,-107.610,-499.000,-62.000,
8/2/2020,8/2/2020,aFRR,NEG_04_08,0.000,0.000,0.000,8.802,-240.600,-874.500,0.000,0.000,0.000,8.802,-248.350,-874.500,45.000,0.000,0.000,0.000,6.100,-142.130,-799.000,-45.000,
8/2/2020,8/2/2020,aFRR,NEG_08_12,0.000,0.520,3.040,10.000,-905.060,-9980.000,0.000,0.540,3.040,10.000,-906.420,-9980.000,11.000,0.000,0.300,2.760,7.500,-890.160,-4600.000,-11.000,
8/2/2020,8/2/2020,aFRR,NEG_12_16,0.000,9.060,21.400,6.034,-857.170,-9980.000,0.000,9.250,21.400,6.034,-819.430,-9980.000,-20.000,0.000,7.250,19.960,4.400,-1209.940,-8191.800,20.000,
8/2/2020,8/2/2020,aFRR,NEG_16_20,0.000,0.000,0.000,10.000,-1984.020,-5499.000,0.000,0.000,0.000,10.000,-2108.300,-5499.000,44.000,0.000,0.000,0.000,5.500,-399.360,-4550.000,-44.000,
8/2/2020,8/2/2020,aFRR,NEG_20_24,0.000,0.000,0.000,11.800,-45.510,-243.900,0.000,0.000,0.000,11.800,-51.570,-243.900,-80.000,0.000,0.000,0.000,9.500,-5.940,-24.990,80.000,
8/3/2020,8/3/2020,aFRR,POS_00_04,0.000,0.000,0.000,44.540,229.620,689.800,0.000,0.000,0.000,48.730,249.630,689.800,-80.000,0.000,0.000,0.000,44.540,96.910,282.960,80.000,
8/3/2020,8/3/2020,aFRR,POS_04_08,0.000,0.330,2.920,55.020,3079.130,9900.000,0.000,0.350,2.920,55.020,3347.710,9900.000,14.000,0.000,0.140,2.440,58.180,118.980,5444.000,-14.000,
8/3/2020,8/3/2020,aFRR,POS_08_12,0.000,8.420,19.410,49.580,474.440,9900.000,0.000,9.000,19.410,55.680,511.660,9900.000,-80.000,0.000,4.260,16.640,49.580,204.950,5444.000,80.000,
8/3/2020,8/3/2020,aFRR,POS_12_16,0.000,1.330,8.400,47.000,2150.100,9900.000,0.000,1.210,5.000,47.000,2263.310,9900.000,79.000,0.000,3.450,8.400,48.210,136.650,5444.000,-79.000,
8/3/2020,8/3/2020,aFRR,POS_16_20,0.000,11.530,22.200,51.360,1066.060,9900.000,0.000,11.620,22.200,57.460,1161.790,9900.000,-67.000,0.000,10.810,21.680,51.360,337.500,5444.000,67.000,
8/3/2020,8/3/2020,aFRR,POS_20_24,0.000,10.330,22.080,54.790,1252.640,9900.000,0.000,10.230,22.080,56.280,1336.350,9900.000,-64.000,0.000,11.070,21.720,54.790,612.400,7893.420,64.000,
8/3/2020,8/3/2020,aFRR,NEG_00_04,0.000,0.000,0.410,10.000,-781.460,-9980.000,0.000,0.000,0.410,10.000,-789.280,-9980.000,40.000,0.000,0.000,0.000,4.500,-684.900,-5999.000,-40.000,
8/3/2020,8/3/2020,aFRR,NEG_04_08,0.000,0.000,0.000,10.200,-870.840,-3000.000,0.000,0.000,0.000,10.200,-942.200,-3000.000,-17.000,0.000,0.000,0.000,7.000,-200.680,-1999.000,17.000,
8/3/2020,8/3/2020,aFRR,NEG_08_12,0.000,0.000,0.000,10.540,-100.290,-828.000,0.000,0.000,0.000,10.540,-100.750,-828.000,-80.000,0.000,0.000,0.000,10.000,-97.110,-590.000,80.000,
